"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
9060,"Game Start by TTL - leaving ready screen"
9060,"HOLD ... 4 secs ( for scanning )"
9060,"TR 1"
9060,"starting game"
13062,"HOLD ... 7 secs - variable presentation duration, ROUND 1"
13062,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 1, ROUND 1"
14886,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
14886,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
14886,"KEYPRESS: 1, OPTION: 1, ROUND 1"
16887,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
16887,"SHOW: Results - reward: 5, CHOICE: sure bet"
17889,"CLEAR SCREEN , ROUND 1"
17894,"HOLD ... 3 secs - variable inter-trial delay, ROUND 2"
17894,"SHOW: inter-trial interval"
20895,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
20895,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 4, ROUND 2"
23016,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
23016,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
23016,"KEYPRESS: 2, OPTION: 2, ROUND 2"
25017,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
25017,"SHOW: Results - reward: 3, CHOICE: sure bet"
26018,"CLEAR SCREEN , ROUND 2"
26023,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
26023,"SHOW: inter-trial interval"
28024,"HOLD ... 5 secs - variable presentation duration, ROUND 3"
28024,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 3, ROUND 3"
29532,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
29532,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
29532,"KEYPRESS: 2, OPTION: 2, ROUND 3"
31533,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
31533,"SHOW: Results - reward: 5, CHOICE: gamble"
32534,"CLEAR SCREEN , ROUND 3"
32539,"HOLD ... 4 secs - variable inter-trial delay, ROUND 4"
