"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
3810,"Game Start by TTL - leaving ready screen"
3810,"TR 1"
3811,"HOLD ... 4 secs ( for scanning )"
3811,"starting game"
7815,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
7815,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 1"
13824,"ANSWER TIMEOUT REACHED, TOO LATE"
13824,"HOLD ... 1 secs"
13824,"SHOW: LATE SCREEN"
14181,"KEYPRESS: 2, DISABLED"
14825,"CLEAR SCREEN , ROUND 1"
14832,"HOLD ... 2 secs - variable inter-trial delay, ROUND 2"
14832,"SHOW: inter-trial interval"
16832,"HOLD ... 10 secs - variable presentation duration, ROUND 2"
16832,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 6, ROUND 2"
20316,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
20316,"KEYPRESS: 2, OPTION: 2, ROUND 2"
20317,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
22318,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
22318,"SHOW: Results - reward: 6, CHOICE: gamble"
23318,"CLEAR SCREEN , ROUND 2"
23323,"HOLD ... 5 secs - variable inter-trial delay, ROUND 3"
23323,"SHOW: inter-trial interval"
28324,"HOLD ... 8 secs - variable presentation duration, ROUND 3"
28324,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 3"
32353,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
32353,"KEYPRESS: 1, OPTION: 1, ROUND 3"
32354,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
34357,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
34357,"SHOW: Results - reward: 3, CHOICE: sure bet"
35358,"CLEAR SCREEN , ROUND 3"
35364,"HOLD ... 3 secs - variable inter-trial delay, ROUND 4"
35364,"SHOW: inter-trial interval"
38365,"HOLD ... 9 secs - variable presentation duration, ROUND 4"
38365,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 0, ROUND 4"
41308,"KEYPRESS: 2, OPTION: 2, ROUND 4"
41309,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
41309,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
43312,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
43312,"SHOW: Results - reward: 0, CHOICE: gamble"
44313,"CLEAR SCREEN , ROUND 4"
44320,"HOLD ... 2 secs - variable inter-trial delay, ROUND 5"
44320,"SHOW: inter-trial interval"
46321,"HOLD ... 4 secs - variable presentation duration, ROUND 5"
46321,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 1, ROUND 5"
49353,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
49353,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
49353,"KEYPRESS: 2, OPTION: 2, ROUND 5"
51355,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
51355,"SHOW: Results - reward: 1, CHOICE: gamble"
52356,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
57524,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
57524,"SUBMIT rating value: 4, key: 3, ROUND 5"
57526,"HOLD ... 4 secs - variable inter-trial delay, ROUND 6"
57526,"SHOW: inter-trial interval"
61529,"HOLD ... 10 secs - variable presentation duration, ROUND 6"
61529,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 6"
65646,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
65646,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
65646,"KEYPRESS: 2, OPTION: 2, ROUND 6"
67648,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
67648,"SHOW: Results - reward: 3, CHOICE: gamble"
68649,"CLEAR SCREEN , ROUND 6"
68655,"HOLD ... 5 secs - variable inter-trial delay, ROUND 7"
68655,"SHOW: inter-trial interval"
73655,"HOLD ... 1 secs - variable presentation duration, ROUND 7"
73655,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 3, ROUND 7"
74656,"ANSWER TIMEOUT REACHED, TOO LATE"
74656,"HOLD ... 1 secs"
74656,"SHOW: LATE SCREEN"
75657,"CLEAR SCREEN , ROUND 7"
75662,"HOLD ... 3 secs - variable inter-trial delay, ROUND 8"
75662,"SHOW: inter-trial interval"
78665,"HOLD ... 7 secs - variable presentation duration, ROUND 8"
78665,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 5, ROUND 8"
81645,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 8"
81645,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
81645,"KEYPRESS: 2, OPTION: 2, ROUND 8"
83646,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
83646,"SHOW: Results - reward: 3, CHOICE: sure bet"
84646,"CLEAR SCREEN , ROUND 8"
84652,"HOLD ... 1 secs - variable inter-trial delay, ROUND 9"
84652,"SHOW: inter-trial interval"
85653,"HOLD ... 8 secs - variable presentation duration, ROUND 9"
85653,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 1, ROUND 9"
90363,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 9"
90363,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
90363,"KEYPRESS: 1, OPTION: 1, ROUND 9"
92366,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
92366,"SHOW: Results - reward: 4, CHOICE: sure bet"
93366,"SHOW: RATING SELECTION, initial value: 0, ROUND 9"
97911,"HOLD ... 0 secs - variable inter-trial delay, ROUND 9"
97911,"SUBMIT rating value: 4, key: 3, ROUND 9"
97913,"HOLD ... 3 secs - variable inter-trial delay, ROUND 10"
97913,"SHOW: inter-trial interval"
100914,"HOLD ... 3 secs - variable presentation duration, ROUND 10"
100914,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 5, ROUND 10"
103726,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 10"
103726,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
103726,"KEYPRESS: 2, OPTION: 2, ROUND 10"
105729,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
105729,"SHOW: Results - reward: 5, CHOICE: gamble"
106730,"CLEAR SCREEN , ROUND 10"
106735,"HOLD ... 4 secs - variable inter-trial delay, ROUND 11"
106735,"SHOW: inter-trial interval"
110736,"HOLD ... 11 secs - variable presentation duration, ROUND 11"
110736,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 4, ROUND 11"
113509,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 11"
113509,"HOLD ... 2 secs - fixed choice duration, ROUND 11"
113509,"KEYPRESS: 2, OPTION: 2, ROUND 11"
115511,"HOLD ... 1 secs - fixed outcome duration, ROUND 11"
115511,"SHOW: Results - reward: 4, CHOICE: gamble"
116512,"SHOW: RATING SELECTION, initial value: 0, ROUND 11"
120566,"HOLD ... 0 secs - variable inter-trial delay, ROUND 11"
120566,"SUBMIT rating value: 4, key: 3, ROUND 11"
120568,"HOLD ... 2 secs - variable inter-trial delay, ROUND 12"
120568,"SHOW: inter-trial interval"
122569,"HOLD ... 1 secs - variable presentation duration, ROUND 12"
122569,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 12"
123570,"ANSWER TIMEOUT REACHED, TOO LATE"
123570,"HOLD ... 1 secs"
123570,"SHOW: LATE SCREEN"
124571,"CLEAR SCREEN , ROUND 12"
124577,"HOLD ... 6 secs - variable inter-trial delay, ROUND 13"
124577,"SHOW: inter-trial interval"
130578,"HOLD ... 7 secs - variable presentation duration, ROUND 13"
130578,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 13"
133130,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 13"
133130,"HOLD ... 2 secs - fixed choice duration, ROUND 13"
133130,"KEYPRESS: 2, OPTION: 2, ROUND 13"
135131,"HOLD ... 1 secs - fixed outcome duration, ROUND 13"
135131,"SHOW: Results - reward: 4, CHOICE: sure bet"
136132,"CLEAR SCREEN , ROUND 13"
136138,"HOLD ... 2 secs - variable inter-trial delay, ROUND 14"
136138,"SHOW: inter-trial interval"
138138,"HOLD ... 4 secs - variable presentation duration, ROUND 14"
138138,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 14"
142066,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 14"
142066,"HOLD ... 2 secs - fixed choice duration, ROUND 14"
142066,"KEYPRESS: 2, OPTION: 2, ROUND 14"
144068,"HOLD ... 1 secs - fixed outcome duration, ROUND 14"
144068,"SHOW: Results - reward: 5, CHOICE: gamble"
145069,"CLEAR SCREEN , ROUND 14"
145075,"HOLD ... 7 secs - variable inter-trial delay, ROUND 15"
145075,"SHOW: inter-trial interval"
152076,"HOLD ... 5 secs - variable presentation duration, ROUND 15"
152076,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 15"
156015,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 15"
156015,"HOLD ... 2 secs - fixed choice duration, ROUND 15"
156015,"KEYPRESS: 2, OPTION: 2, ROUND 15"
158018,"HOLD ... 1 secs - fixed outcome duration, ROUND 15"
158018,"SHOW: Results - reward: 1, CHOICE: gamble"
159019,"SHOW: RATING SELECTION, initial value: 0, ROUND 15"
162979,"HOLD ... 0 secs - variable inter-trial delay, ROUND 15"
162979,"SUBMIT rating value: 4, key: 3, ROUND 15"
162982,"HOLD ... 4 secs - variable inter-trial delay, ROUND 16"
162982,"SHOW: inter-trial interval"
166982,"HOLD ... 9 secs - variable presentation duration, ROUND 16"
