"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
10682,"Game Start by TTL - leaving ready screen"
10682,"HOLD ... 4 secs ( for scanning )"
10682,"TR 1"
10682,"starting game"
14686,"HOLD ... 5 secs - variable presentation duration, ROUND 1"
14686,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 1"
16333,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
16333,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
16333,"KEYPRESS: 1, OPTION: 1, ROUND 1"
18336,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
18336,"SHOW: Results - reward: 3, CHOICE: sure bet"
19337,"CLEAR SCREEN , ROUND 1"
19342,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
19342,"SHOW: inter-trial interval"
23343,"HOLD ... 7 secs - variable presentation duration, ROUND 2"
23343,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 3, ROUND 2"
24713,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
24713,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
24713,"KEYPRESS: 1, OPTION: 1, ROUND 2"
26716,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
26716,"SHOW: Results - reward: 6, CHOICE: gamble"
27717,"CLEAR SCREEN , ROUND 2"
27723,"HOLD ... 7 secs - variable inter-trial delay, ROUND 3"
27723,"SHOW: inter-trial interval"
34724,"HOLD ... 4 secs - variable presentation duration, ROUND 3"
34724,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 4, ROUND 3"
36640,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
36640,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
36640,"KEYPRESS: 1, OPTION: 1, ROUND 3"
38641,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
38641,"SHOW: Results - reward: 3, CHOICE: sure bet"
39642,"SHOW: RATING SELECTION, initial value: 0, ROUND 3"
43606,"HOLD ... 0 secs - variable inter-trial delay, ROUND 3"
43606,"SUBMIT rating value: 0, key: 3, ROUND 3"
43608,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
43608,"SHOW: inter-trial interval"
45608,"HOLD ... 3 secs - variable presentation duration, ROUND 4"
45608,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 0, ROUND 4"
48618,"ANSWER TIMEOUT REACHED, TOO LATE"
48618,"HOLD ... 1 secs"
48618,"SHOW: LATE SCREEN"
49619,"CLEAR SCREEN , ROUND 4"
49624,"HOLD ... 3 secs - variable inter-trial delay, ROUND 5"
49624,"SHOW: inter-trial interval"
52625,"HOLD ... 9 secs - variable presentation duration, ROUND 5"
52625,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 6, ROUND 5"
54541,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
54541,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
54541,"KEYPRESS: 1, OPTION: 1, ROUND 5"
56543,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
56543,"SHOW: Results - reward: 6, CHOICE: sure bet"
57544,"CLEAR SCREEN , ROUND 5"
57549,"HOLD ... 3 secs - variable inter-trial delay, ROUND 6"
57549,"SHOW: inter-trial interval"
60550,"HOLD ... 6 secs - variable presentation duration, ROUND 6"
60550,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 2, ROUND 6"
62465,"KEYPRESS: 1, OPTION: 1, ROUND 6"
62466,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
62466,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
64470,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
64470,"SHOW: Results - reward: 2, CHOICE: gamble"
65472,"CLEAR SCREEN , ROUND 6"
65477,"HOLD ... 1 secs - variable inter-trial delay, ROUND 7"
65477,"SHOW: inter-trial interval"
66479,"HOLD ... 3 secs - variable presentation duration, ROUND 7"
66479,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 0, ROUND 7"
69022,"KEYPRESS: 2, OPTION: 2, ROUND 7"
69023,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 7"
69023,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
71025,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
71025,"SHOW: Results - reward: 0, CHOICE: gamble"
72026,"CLEAR SCREEN , ROUND 7"
72032,"HOLD ... 2 secs - variable inter-trial delay, ROUND 8"
72032,"SHOW: inter-trial interval"
74033,"HOLD ... 7 secs - variable presentation duration, ROUND 8"
74033,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 8"
75809,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 8"
75809,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
75809,"KEYPRESS: 1, OPTION: 1, ROUND 8"
77812,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
77812,"SHOW: Results - reward: 3, CHOICE: sure bet"
78813,"SHOW: RATING SELECTION, initial value: 0, ROUND 8"
81015," SLIDER increased, value: 1, key: 2, ROUND 8"
82623,"HOLD ... 0 secs - variable inter-trial delay, ROUND 8"
82623,"SUBMIT rating value: 1, key: 3, ROUND 8"
82626,"HOLD ... 1 secs - variable inter-trial delay, ROUND 9"
82626,"SHOW: inter-trial interval"
83627,"HOLD ... 5 secs - variable presentation duration, ROUND 9"
83627,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 3, ROUND 9"
84915,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 9"
84915,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
84915,"KEYPRESS: 2, OPTION: 2, ROUND 9"
86917,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
86917,"SHOW: Results - reward: 3, CHOICE: gamble"
87918,"SHOW: RATING SELECTION, initial value: 0, ROUND 9"
90380,"HOLD ... 0 secs - variable inter-trial delay, ROUND 9"
90380,"SUBMIT rating value: 0, key: 3, ROUND 9"
90382,"HOLD ... 3 secs - variable inter-trial delay, ROUND 10"
90382,"SHOW: inter-trial interval"
93385,"HOLD ... 5 secs - variable presentation duration, ROUND 10"
93385,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 3, ROUND 10"
95092,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 10"
95092,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
95092,"KEYPRESS: 1, OPTION: 1, ROUND 10"
97093,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
97093,"SHOW: Results - reward: 3, CHOICE: gamble"
98094,"CLEAR SCREEN , ROUND 10"
98099,"HOLD ... 3 secs - variable inter-trial delay, ROUND 11"
98099,"SHOW: inter-trial interval"
101100,"HOLD ... 4 secs - variable presentation duration, ROUND 11"
101100,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 4, ROUND 11"
102812,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 11"
102812,"HOLD ... 2 secs - fixed choice duration, ROUND 11"
102812,"KEYPRESS: 1, OPTION: 1, ROUND 11"
102900,"KEYPRESS: 2, DISABLED"
104816,"HOLD ... 1 secs - fixed outcome duration, ROUND 11"
104816,"SHOW: Results - reward: 3, CHOICE: sure bet"
105817,"CLEAR SCREEN , ROUND 11"
105822,"HOLD ... 4 secs - variable inter-trial delay, ROUND 12"
105822,"SHOW: inter-trial interval"
109822,"HOLD ... 7 secs - variable presentation duration, ROUND 12"
109822,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 5, ROUND 12"
111421,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 12"
111421,"HOLD ... 2 secs - fixed choice duration, ROUND 12"
111421,"KEYPRESS: 2, OPTION: 2, ROUND 12"
113424,"HOLD ... 1 secs - fixed outcome duration, ROUND 12"
113424,"SHOW: Results - reward: 6, CHOICE: sure bet"
114425,"SHOW: RATING SELECTION, initial value: 0, ROUND 12"
116158," SLIDER increased, value: 1, key: 2, ROUND 12"
117799,"HOLD ... 0 secs - variable inter-trial delay, ROUND 12"
117799,"SUBMIT rating value: 1, key: 3, ROUND 12"
117801,"HOLD ... 3 secs - variable inter-trial delay, ROUND 13"
117801,"SHOW: inter-trial interval"
120805,"HOLD ... 9 secs - variable presentation duration, ROUND 13"
120805,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 2, ROUND 13"
122527,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 13"
122527,"HOLD ... 2 secs - fixed choice duration, ROUND 13"
122527,"KEYPRESS: 2, OPTION: 2, ROUND 13"
124529,"HOLD ... 1 secs - fixed outcome duration, ROUND 13"
124529,"SHOW: Results - reward: 6, CHOICE: sure bet"
125530,"SHOW: RATING SELECTION, initial value: 0, ROUND 13"
126597," SLIDER increased, value: 1, key: 2, ROUND 13"
127077," SLIDER increased, value: 2, key: 2, ROUND 13"
127398," SLIDER increased, value: 3, key: 2, ROUND 13"
127670," SLIDER increased, value: 4, key: 2, ROUND 13"
128860,"HOLD ... 0 secs - variable inter-trial delay, ROUND 13"
128860,"SUBMIT rating value: 4, key: 3, ROUND 13"
128862,"HOLD ... 5 secs - variable inter-trial delay, ROUND 14"
128862,"SHOW: inter-trial interval"
133867,"HOLD ... 8 secs - variable presentation duration, ROUND 14"
133867,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 4, ROUND 14"
135158,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 14"
135158,"HOLD ... 2 secs - fixed choice duration, ROUND 14"
135158,"KEYPRESS: 1, OPTION: 1, ROUND 14"
137160,"HOLD ... 1 secs - fixed outcome duration, ROUND 14"
137160,"SHOW: Results - reward: 6, CHOICE: sure bet"
138160,"CLEAR SCREEN , ROUND 14"
138166,"HOLD ... 4 secs - variable inter-trial delay, ROUND 15"
138166,"SHOW: inter-trial interval"
142167,"HOLD ... 8 secs - variable presentation duration, ROUND 15"
142167,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 15"
143339,"KEYPRESS: 1, OPTION: 1, ROUND 15"
143340,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 15"
143340,"HOLD ... 2 secs - fixed choice duration, ROUND 15"
145341,"HOLD ... 1 secs - fixed outcome duration, ROUND 15"
145341,"SHOW: Results - reward: 3, CHOICE: sure bet"
146342,"CLEAR SCREEN , ROUND 15"
146348,"HOLD ... 2 secs - variable inter-trial delay, ROUND 16"
146348,"SHOW: inter-trial interval"
148350,"HOLD ... 4 secs - variable presentation duration, ROUND 16"
148350,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 4, ROUND 16"
149915,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 16"
149915,"HOLD ... 2 secs - fixed choice duration, ROUND 16"
149915,"KEYPRESS: 2, OPTION: 2, ROUND 16"
151917,"HOLD ... 1 secs - fixed outcome duration, ROUND 16"
151917,"SHOW: Results - reward: 3, CHOICE: gamble"
152918,"SHOW: RATING SELECTION, initial value: 0, ROUND 16"
154529," SLIDER increased, value: 1, key: 2, ROUND 16"
155158," SLIDER increased, value: 2, key: 2, ROUND 16"
155672," SLIDER increased, value: 3, key: 2, ROUND 16"
156065," SLIDER increased, value: 4, key: 2, ROUND 16"
157380,"HOLD ... 0 secs - variable inter-trial delay, ROUND 16"
157380,"SUBMIT rating value: 4, key: 3, ROUND 16"
157382,"HOLD ... 2 secs - variable inter-trial delay, ROUND 17"
157382,"SHOW: inter-trial interval"
159383,"HOLD ... 4 secs - variable presentation duration, ROUND 17"
159383,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 6, ROUND 17"
161006,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 17"
161006,"HOLD ... 2 secs - fixed choice duration, ROUND 17"
161006,"KEYPRESS: 1, OPTION: 1, ROUND 17"
163007,"HOLD ... 1 secs - fixed outcome duration, ROUND 17"
163007,"SHOW: Results - reward: 6, CHOICE: gamble"
164007,"CLEAR SCREEN , ROUND 17"
164013,"HOLD ... 5 secs - variable inter-trial delay, ROUND 18"
164013,"SHOW: inter-trial interval"
169015,"HOLD ... 7 secs - variable presentation duration, ROUND 18"
169015,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 4, ROUND 18"
170474,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 18"
170474,"HOLD ... 2 secs - fixed choice duration, ROUND 18"
170474,"KEYPRESS: 1, OPTION: 1, ROUND 18"
172476,"HOLD ... 1 secs - fixed outcome duration, ROUND 18"
172476,"SHOW: Results - reward: 3, CHOICE: gamble"
173477,"CLEAR SCREEN , ROUND 18"
173482,"HOLD ... 3 secs - variable inter-trial delay, ROUND 19"
173482,"SHOW: inter-trial interval"
176485,"HOLD ... 10 secs - variable presentation duration, ROUND 19"
176485,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 19"
177772,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 19"
177772,"HOLD ... 2 secs - fixed choice duration, ROUND 19"
177772,"KEYPRESS: 1, OPTION: 1, ROUND 19"
179774,"HOLD ... 1 secs - fixed outcome duration, ROUND 19"
179774,"SHOW: Results - reward: 2, CHOICE: gamble"
180775,"SHOW: RATING SELECTION, initial value: 0, ROUND 19"
181874," SLIDER decreased, value: -1, key: 1, ROUND 19"
183309,"HOLD ... 0 secs - variable inter-trial delay, ROUND 19"
183309,"SUBMIT rating value: -1, key: 3, ROUND 19"
183311,"HOLD ... 4 secs - variable inter-trial delay, ROUND 20"
183311,"SHOW: inter-trial interval"
187314,"HOLD ... 6 secs - variable presentation duration, ROUND 20"
187314,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 0, ROUND 20"
188609,"KEYPRESS: 2, OPTION: 2, ROUND 20"
188610,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 20"
188610,"HOLD ... 2 secs - fixed choice duration, ROUND 20"
190612,"HOLD ... 1 secs - fixed outcome duration, ROUND 20"
190612,"SHOW: Results - reward: 5, CHOICE: sure bet"
191613,"CLEAR SCREEN , ROUND 20"
191619,"HOLD ... 1 secs - variable inter-trial delay, ROUND 21"
191619,"SHOW: inter-trial interval"
192620,"HOLD ... 7 secs - variable presentation duration, ROUND 21"
192620,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 21"
193805,"KEYPRESS: 1, OPTION: 1, ROUND 21"
193806,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 21"
193806,"HOLD ... 2 secs - fixed choice duration, ROUND 21"
195808,"HOLD ... 1 secs - fixed outcome duration, ROUND 21"
195808,"SHOW: Results - reward: 6, CHOICE: sure bet"
196809,"CLEAR SCREEN , ROUND 21"
196816,"HOLD ... 1 secs - variable inter-trial delay, ROUND 22"
196816,"SHOW: inter-trial interval"
197817,"HOLD ... 5 secs - variable presentation duration, ROUND 22"
197817,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 5, ROUND 22"
200028,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 22"
200028,"HOLD ... 2 secs - fixed choice duration, ROUND 22"
200028,"KEYPRESS: 1, OPTION: 1, ROUND 22"
202030,"HOLD ... 1 secs - fixed outcome duration, ROUND 22"
202030,"SHOW: Results - reward: 5, CHOICE: gamble"
203031,"SHOW: RATING SELECTION, initial value: 0, ROUND 22"
204676," SLIDER increased, value: 1, key: 2, ROUND 22"
205350," SLIDER increased, value: 2, key: 2, ROUND 22"
206053," SLIDER increased, value: 3, key: 2, ROUND 22"
206755," SLIDER increased, value: 4, key: 2, ROUND 22"
207547,"HOLD ... 0 secs - variable inter-trial delay, ROUND 22"
207547,"SUBMIT rating value: 4, key: 3, ROUND 22"
207549,"HOLD ... 1 secs - variable inter-trial delay, ROUND 23"
207549,"SHOW: inter-trial interval"
208552,"HOLD ... 5 secs - variable presentation duration, ROUND 23"
208552,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 3, ROUND 23"
209828,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 23"
209828,"HOLD ... 2 secs - fixed choice duration, ROUND 23"
209828,"KEYPRESS: 1, OPTION: 1, ROUND 23"
211832,"HOLD ... 1 secs - fixed outcome duration, ROUND 23"
211832,"SHOW: Results - reward: 4, CHOICE: gamble"
212833,"SHOW: RATING SELECTION, initial value: 0, ROUND 23"
214087," SLIDER decreased, value: -1, key: 1, ROUND 23"
214932," SLIDER increased, value: 0, key: 2, ROUND 23"
215272," SLIDER increased, value: 1, key: 2, ROUND 23"
215531," SLIDER increased, value: 2, key: 2, ROUND 23"
215803," SLIDER increased, value: 3, key: 2, ROUND 23"
216418," SLIDER increased, value: 4, key: 2, ROUND 23"
217291,"HOLD ... 0 secs - variable inter-trial delay, ROUND 23"
217291,"SUBMIT rating value: 4, key: 3, ROUND 23"
217293,"HOLD ... 5 secs - variable inter-trial delay, ROUND 24"
217293,"SHOW: inter-trial interval"
222298,"HOLD ... 3 secs - variable presentation duration, ROUND 24"
222298,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 1, ROUND 24"
223906,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 24"
223906,"HOLD ... 2 secs - fixed choice duration, ROUND 24"
223906,"KEYPRESS: 2, OPTION: 2, ROUND 24"
225907,"HOLD ... 1 secs - fixed outcome duration, ROUND 24"
225907,"SHOW: Results - reward: 5, CHOICE: sure bet"
226907,"SHOW: RATING SELECTION, initial value: 0, ROUND 24"
228688," SLIDER increased, value: 1, key: 2, ROUND 24"
228971," SLIDER increased, value: 2, key: 2, ROUND 24"
229700," SLIDER increased, value: 3, key: 2, ROUND 24"
230133," SLIDER increased, value: 4, key: 2, ROUND 24"
231038,"HOLD ... 0 secs - variable inter-trial delay, ROUND 24"
231038,"SUBMIT rating value: 4, key: 3, ROUND 24"
231040,"HOLD ... 3 secs - variable inter-trial delay, ROUND 25"
231040,"SHOW: inter-trial interval"
234041,"HOLD ... 5 secs - variable presentation duration, ROUND 25"
234041,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 25"
235420,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 25"
235420,"HOLD ... 2 secs - fixed choice duration, ROUND 25"
235420,"KEYPRESS: 1, OPTION: 1, ROUND 25"
237422,"HOLD ... 1 secs - fixed outcome duration, ROUND 25"
237422,"SHOW: Results - reward: 5, CHOICE: sure bet"
238424,"SHOW: RATING SELECTION, initial value: 0, ROUND 25"
240396," SLIDER increased, value: 1, key: 2, ROUND 25"
240637," SLIDER increased, value: 2, key: 2, ROUND 25"
240867," SLIDER increased, value: 3, key: 2, ROUND 25"
242091," SLIDER increased, value: 4, key: 2, ROUND 25"
242592,"HOLD ... 0 secs - variable inter-trial delay, ROUND 25"
242592,"SUBMIT rating value: 4, key: 3, ROUND 25"
242594,"HOLD ... 1 secs - variable inter-trial delay, ROUND 26"
242594,"SHOW: inter-trial interval"
243594,"HOLD ... 8 secs - variable presentation duration, ROUND 26"
243594,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 26"
244833,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 26"
244833,"HOLD ... 2 secs - fixed choice duration, ROUND 26"
244833,"KEYPRESS: 1, OPTION: 1, ROUND 26"
