"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
16341,"Game Start by TTL - leaving ready screen"
16341,"HOLD ... 4 secs ( for scanning )"
16341,"TR 1"
16341,"starting game"
20345,"HOLD ... 4 secs - variable presentation duration, ROUND 1"
20345,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 1"
24355,"ANSWER TIMEOUT REACHED, TOO LATE"
24355,"HOLD ... 1 secs"
24355,"SHOW: LATE SCREEN"
25356,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
31829," SLIDER decreased, value: -1, key: 1, ROUND 1"
32339," SLIDER decreased, value: -2, key: 1, ROUND 1"
32380," SLIDER decreased, value: -3, key: 1, ROUND 1"
32427," SLIDER decreased, value: -4, key: 1, ROUND 1"
32470," SLIDER unchanged, value: -4, key: 1, ROUND 1"
32510," SLIDER unchanged, value: -4, key: 1, ROUND 1"
32551," SLIDER unchanged, value: -4, key: 1, ROUND 1"
32591," SLIDER unchanged, value: -4, key: 1, ROUND 1"
32631," SLIDER unchanged, value: -4, key: 1, ROUND 1"
32672," SLIDER unchanged, value: -4, key: 1, ROUND 1"
37257,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
37257,"SUBMIT rating value: -4, key: 3, ROUND 1"
37259,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
37259,"SHOW: inter-trial interval"
41261,"HOLD ... 2 secs - variable presentation duration, ROUND 2"
41261,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 3, ROUND 2"
43271,"ANSWER TIMEOUT REACHED, TOO LATE"
43271,"SHOW: LATE SCREEN"
43272,"HOLD ... 1 secs"
44273,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
48478," SLIDER decreased, value: -1, key: 1, ROUND 2"
48993," SLIDER decreased, value: -2, key: 1, ROUND 2"
49040," SLIDER decreased, value: -3, key: 1, ROUND 2"
49080," SLIDER decreased, value: -4, key: 1, ROUND 2"
49120," SLIDER unchanged, value: -4, key: 1, ROUND 2"
49161," SLIDER unchanged, value: -4, key: 1, ROUND 2"
49201," SLIDER unchanged, value: -4, key: 1, ROUND 2"
50681,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
50681,"SUBMIT rating value: -4, key: 3, ROUND 2"
50683,"HOLD ... 4 secs - variable inter-trial delay, ROUND 3"
50683,"SHOW: inter-trial interval"
54684,"HOLD ... 5 secs - variable presentation duration, ROUND 3"
54684,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 3"
56711,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
56711,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
56711,"KEYPRESS: 1, OPTION: 1, ROUND 3"
58713,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
58713,"SHOW: Results - reward: 4, CHOICE: gamble"
59714,"CLEAR SCREEN , ROUND 3"
59720,"HOLD ... 5 secs - variable inter-trial delay, ROUND 4"
59720,"SHOW: inter-trial interval"
64722,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
64722,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 4"
67814,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
67814,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
67814,"KEYPRESS: 1, OPTION: 1, ROUND 4"
69817,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
69817,"SHOW: Results - reward: 3, CHOICE: sure bet"
70818,"CLEAR SCREEN , ROUND 4"
70823,"HOLD ... 4 secs - variable inter-trial delay, ROUND 5"
70823,"SHOW: inter-trial interval"
74824,"HOLD ... 5 secs - variable presentation duration, ROUND 5"
74824,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 0, ROUND 5"
76514,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
76514,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
76514,"KEYPRESS: 1, OPTION: 1, ROUND 5"
78517,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
78517,"SHOW: Results - reward: 5, CHOICE: sure bet"
79518,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
82085," SLIDER increased, value: 1, key: 2, ROUND 5"
82596," SLIDER increased, value: 2, key: 2, ROUND 5"
82636," SLIDER increased, value: 3, key: 2, ROUND 5"
82677," SLIDER increased, value: 4, key: 2, ROUND 5"
82717," SLIDER unchanged, value: 4, key: 2, ROUND 5"
82757," SLIDER unchanged, value: 4, key: 2, ROUND 5"
82806," SLIDER unchanged, value: 4, key: 2, ROUND 5"
82849," SLIDER unchanged, value: 4, key: 2, ROUND 5"
82889," SLIDER unchanged, value: 4, key: 2, ROUND 5"
82929," SLIDER unchanged, value: 4, key: 2, ROUND 5"
82970," SLIDER unchanged, value: 4, key: 2, ROUND 5"
83010," SLIDER unchanged, value: 4, key: 2, ROUND 5"
84304,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
84304,"SUBMIT rating value: 4, key: 3, ROUND 5"
84306,"HOLD ... 2 secs - variable inter-trial delay, ROUND 6"
84306,"SHOW: inter-trial interval"
86306,"HOLD ... 4 secs - variable presentation duration, ROUND 6"
86306,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 0, ROUND 6"
87534,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
87534,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
87534,"KEYPRESS: 1, OPTION: 1, ROUND 6"
89536,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
89536,"SHOW: Results - reward: 3, CHOICE: sure bet"
90537,"CLEAR SCREEN , ROUND 6"
90542,"HOLD ... 2 secs - variable inter-trial delay, ROUND 7"
90542,"SHOW: inter-trial interval"
92544,"HOLD ... 4 secs - variable presentation duration, ROUND 7"
92544,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 3, ROUND 7"
94050,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 7"
94050,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
94050,"KEYPRESS: 1, OPTION: 1, ROUND 7"
96052,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
96052,"SHOW: Results - reward: 5, CHOICE: gamble"
97053,"CLEAR SCREEN , ROUND 7"
97058,"HOLD ... 2 secs - variable inter-trial delay, ROUND 8"
97058,"SHOW: inter-trial interval"
99059,"HOLD ... 5 secs - variable presentation duration, ROUND 8"
99059,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 8"
100506,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 8"
100506,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
100506,"KEYPRESS: 2, OPTION: 2, ROUND 8"
102511,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
102511,"SHOW: Results - reward: 6, CHOICE: sure bet"
103512,"SHOW: RATING SELECTION, initial value: 0, ROUND 8"
105854," SLIDER increased, value: 1, key: 2, ROUND 8"
106368," SLIDER increased, value: 2, key: 2, ROUND 8"
106408," SLIDER increased, value: 3, key: 2, ROUND 8"
106455," SLIDER increased, value: 4, key: 2, ROUND 8"
106496," SLIDER unchanged, value: 4, key: 2, ROUND 8"
106536," SLIDER unchanged, value: 4, key: 2, ROUND 8"
106576," SLIDER unchanged, value: 4, key: 2, ROUND 8"
106616," SLIDER unchanged, value: 4, key: 2, ROUND 8"
106657," SLIDER unchanged, value: 4, key: 2, ROUND 8"
106696," SLIDER unchanged, value: 4, key: 2, ROUND 8"
107262,"HOLD ... 0 secs - variable inter-trial delay, ROUND 8"
107262,"SUBMIT rating value: 4, key: 3, ROUND 8"
107264,"HOLD ... 5 secs - variable inter-trial delay, ROUND 9"
107264,"SHOW: inter-trial interval"
112265,"HOLD ... 6 secs - variable presentation duration, ROUND 9"
112265,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 9"
113968,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 9"
113968,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
113968,"KEYPRESS: 1, OPTION: 1, ROUND 9"
115968,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
115968,"SHOW: Results - reward: 3, CHOICE: sure bet"
116970,"SHOW: RATING SELECTION, initial value: 0, ROUND 9"
119388," SLIDER increased, value: 1, key: 2, ROUND 9"
119898," SLIDER increased, value: 2, key: 2, ROUND 9"
119939," SLIDER increased, value: 3, key: 2, ROUND 9"
119979," SLIDER increased, value: 4, key: 2, ROUND 9"
120019," SLIDER unchanged, value: 4, key: 2, ROUND 9"
120067," SLIDER unchanged, value: 4, key: 2, ROUND 9"
120109," SLIDER unchanged, value: 4, key: 2, ROUND 9"
121143,"HOLD ... 0 secs - variable inter-trial delay, ROUND 9"
121143,"SUBMIT rating value: 4, key: 3, ROUND 9"
121147,"HOLD ... 2 secs - variable inter-trial delay, ROUND 10"
121147,"SHOW: inter-trial interval"
123147,"HOLD ... 9 secs - variable presentation duration, ROUND 10"
123147,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 10"
124348,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 10"
124348,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
124348,"KEYPRESS: 1, OPTION: 1, ROUND 10"
126351,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
126351,"SHOW: Results - reward: 5, CHOICE: sure bet"
127352,"CLEAR SCREEN , ROUND 10"
127358,"HOLD ... 3 secs - variable inter-trial delay, ROUND 11"
127358,"SHOW: inter-trial interval"
130360,"HOLD ... 6 secs - variable presentation duration, ROUND 11"
130360,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 0, ROUND 11"
132636,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 11"
132636,"KEYPRESS: 1, OPTION: 1, ROUND 11"
132637,"HOLD ... 2 secs - fixed choice duration, ROUND 11"
134642,"HOLD ... 1 secs - fixed outcome duration, ROUND 11"
134642,"SHOW: Results - reward: 3, CHOICE: gamble"
135643,"CLEAR SCREEN , ROUND 11"
135648,"HOLD ... 3 secs - variable inter-trial delay, ROUND 12"
135648,"SHOW: inter-trial interval"
138650,"HOLD ... 8 secs - variable presentation duration, ROUND 12"
138650,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 1, ROUND 12"
139820,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 12"
139820,"HOLD ... 2 secs - fixed choice duration, ROUND 12"
139820,"KEYPRESS: 1, OPTION: 1, ROUND 12"
141823,"HOLD ... 1 secs - fixed outcome duration, ROUND 12"
141823,"SHOW: Results - reward: 6, CHOICE: sure bet"
142823,"CLEAR SCREEN , ROUND 12"
142829,"HOLD ... 3 secs - variable inter-trial delay, ROUND 13"
142829,"SHOW: inter-trial interval"
145830,"HOLD ... 7 secs - variable presentation duration, ROUND 13"
145830,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 5, ROUND 13"
147142,"KEYPRESS: 1, OPTION: 1, ROUND 13"
147143,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 13"
147143,"HOLD ... 2 secs - fixed choice duration, ROUND 13"
149145,"HOLD ... 1 secs - fixed outcome duration, ROUND 13"
